,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
838,mercedes-benz-group,Januar 2022,Das Unternehmen schafft sich selber ab.,not_recommended,1.0,5.0,2.0,3.0,1.0,5.0,2.0,4.0,3.0,1.0,3.0,3.0,0
839,bayer,April 2022,Sehr Zukunftsorientiert mit guten Perspektiven.,recommended,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,1
840,adidas,Februar 2022,Abwechslungsreiche Tätigkeiten in internationalem Umfeld,recommended,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1
841,bayer,April 2021,Der Familienfreundlichste Arbeitgeber Deutschlands,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,1
842,continental-gruppe,Januar 2022,Hervorragendes Praktikum in der Aus- und Weiterbildung,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
843,eon,November 2021,Ein gutes Arbeitsverhältnis.,recommended,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,1
844,mercedes-benz-group,März 2022,Enttäuscht von einem globalen Unternehmen,not_recommended,,,,,,,,,,,,,0
845,siemens,Januar 2022,Toller Arbeitgeber und tolles Team!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
846,muenchener-rueckversicherung,Juli 2020,eintöniger als erwartet,not_recommended,1.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,0
847,vonovia-se,September 2021,Arbeiten in Hannover,recommended,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
848,linde,Januar 2022,Seit der Fusion mit Praxair geht's bergab. Die Bewertung ist eine bzgl. der Vergangenheit. Die Gegenwart ist schlechter,not_recommended,2.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,0
849,infineon-technologies,Januar 2022,NICHT EMPFEHLENSWERT,not_recommended,1.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0
850,basf-se,November 2021,Ein Wandel ist dringend erforderlich,recommended,3.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,1
851,mtuaeroengines,März 2022,Die MTU ist verdient einer der besten Arbeitgeber Deutschlands,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,1
852,mtuaeroengines,März 2022,Über 30 Jahre Zufriedenheit,recommended,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,1
853,merckaa,April 2020,Außen hui Innen..........,not_recommended,4.0,3.0,1.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,0
854,airbus,April 2021,Data Analyst,recommended,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,1
855,fresenius-se,April 2020,"Leider Vitamin B vor Verstand, sonst gut.",recommended,2.0,1.0,5.0,,5.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,1
856,eon,September 2021,Bester Werkstudentenjob ever,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,,5.0,5.0,1
857,deutsche-bank,Februar 2022,Gut: 3 von 5 Sternen,recommended,1.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,1
858,zalando,Mai 2022,Innovation vs. Bürokratie,recommended,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1
859,merckaa,Oktober 2021,Hier kannst Du gut arbeiten.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,1
860,siemens,Februar 2022,TipTop,recommended,,,,,,,,,,,,,1
861,fresenius-se,Juni 2018,Alles in allem solide,recommended,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,4.0,1
862,hannover-rueckversicherung,April 2021,Technical Accountant,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
863,muenchener-rueckversicherung,November 2019,Guter Arbeitgeber mit gutem Gehalt,recommended,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1
864,hannover-rueckversicherung,Januar 2022,Durchweg solide,recommended,,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,1
865,sartorius,August 2021,Solider Arbeitgeber,recommended,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1
866,mtuaeroengines,März 2022,Sicherer Arbeitgeber im Wandel der Digitalisierung,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,1
867,hannover-rueckversicherung,März 2018,Sehr gute Kollegen,recommended,3.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,1
868,zalando,Januar 2022,Falscher Mitarbeiterumgang,not_recommended,2.0,,1.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,0
869,porsche-gruppe,Dezember 2021,"Viel gelernt, entspanntes Umfeld, spannende Einblicke ins Unternehmen",recommended,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,1
870,sap,April 2022,"Gute Zukunftschancen, viele Möglichkeiten und dabei fair und menschenfreundlich.",recommended,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1
871,deutsche-telekom,März 2022,Hungerlohn als Mitarbeiter der für die Telekom arbeitetet,not_recommended,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0
872,qiagen,März 2019,Flache Hierarchien,recommended,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1
873,sap,Februar 2022,"Good but no real salary increases, inflation is not compensated sustainable",recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,1
874,bmwgroup,April 2022,Katastrophale Führungskräfte,not_recommended,4.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,0
875,bmwgroup,Dezember 2021,Klasse Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
876,sartorius,August 2021,Super Arbeitgeber!!!,recommended,4.0,,3.0,,3.0,,5.0,,2.0,,5.0,4.0,1
877,deutsche-telekom,März 2022,#DABEI,recommended,,,,,,,,,,,,,1
878,sap,Mai 2022,Bester Arbeitgeber Deutschlands,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
879,eon,November 2020,ABM durch CPO,not_recommended,1.0,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,1.0,3.0,4.0,0
880,eon,September 2020,"Viele Freiheiten, super sozial, guter Kaffee, traumhafte Arbeitsatmossphäre, starke HR.",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
881,qiagen,Mai 2019,Unternehmen mit Potential,not_recommended,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,0
882,siemens,April 2022,Great opportunity to work there and to be part of a phantastic team!!!!,recommended,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,1
883,hannover-rueckversicherung,November 2019,Sehr guter Arbeitgeber in Hannover,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1
884,delivery-hero,Januar 2020,"Das war nicht die beste Arbeitsplatz, die ich virstellen könnte.",not_recommended,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,0
885,eon,November 2021,"Nicht perfekt, aber sehr gut",recommended,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,1
886,deutsche-boerse,Dezember 2021,"Vollwertiges Teammitglied, viele verschiene Bereiche kennengelernt, tolles Mentoring durch ältere Kollegen.",recommended,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,1
887,continental-gruppe,Dezember 2021,Altbackene Strukturen und Prozesse - Mitarbeiter sind Ressource - Fachlich herausragende Kollegen,not_recommended,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,0
888,vonovia-se,März 2022,Personalabteilung schafft sich ab,not_recommended,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0
889,symrise,Juni 2018,Gut: 3.69 von 5 Sternen,recommended,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1
890,deutsche-post,April 2022,Netter Arbeitgeber der aber einiges ändern sollte.,not_recommended,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,0
891,volkswagen,September 2021,"Brutal viel Arbeit, aber Freude am Tun",recommended,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1
892,hellofresh,März 2019,Schnell wachsender Arbeitgeber mit täglich neuen Herausforderungen,recommended,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,,4.0,4.0,1
893,mtuaeroengines,März 2022,Organisiertes Unternehmen,recommended,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,1
894,henkel-aa,Januar 2022,"Guter Arbeitgeber, Bezahlung passt auch",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,4.0,1
895,covestro-deutschland3,Mai 2020,Sehr tolle Stelle,recommended,,,,,,,,,,,,,1
896,vonovia-se,Februar 2022,"Machtspiele, Druck, Überstunden und hohe Fluktuation",not_recommended,4.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,0
897,henkel-aa,Juli 2021,Guter Ausbildungsplatz,recommended,,,,,,,,,,,,,1
898,continental-gruppe,Mai 2022,Enttäuschend,not_recommended,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0
899,continental-gruppe,Dezember 2021,An sich ein interessanter Job,not_recommended,2.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,5.0,2.0,0
900,daimler-truck3,Januar 2022,hmmm,not_recommended,4.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,0
901,zalando,Mai 2022,happier than ever,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1
902,volkswagen,November 2021,Sehr guter Arbeitgeber,recommended,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
903,mercedes-benz-group,Januar 2022,"Agil, fordernd, wertschätzend",recommended,5.0,5.0,5.0,4.0,4.0,,5.0,5.0,4.0,5.0,3.0,5.0,1
904,rwe,Januar 2020,Solide und Freundlich,recommended,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,1
905,hellofresh,Juli 2021,"Not bad, definite room for improvement",recommended,5.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,4.0,3.0,4.0,1
906,rwe,Mai 2019,Top Arbeitgeber mit ausreichender Flexibilität für das Familienleben neben der Arbeit.,recommended,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1
907,deutsche-telekom,April 2022,Seit meiner Ausbildung im Unternehmen,recommended,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,1
908,hellofresh,November 2017,Stabiles Startup mit tollem Produkt und super Team,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,4.0,4.0,5.0,5.0,1
909,sap,Februar 2022,"Gute Firma, schlechtes Gehaltssystem mit zu viel Willkür",recommended,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1
910,mercedes-benz-group,Januar 2022,Top Arbeitgeber mit Luft nach oben!,recommended,4.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,1
911,delivery-hero,März 2017,Schwacher Arbeitgeber,not_recommended,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0
912,delivery-hero,Oktober 2021,Erbärmliche Arbeitsbedingungen,not_recommended,1.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,0
913,deutsche-boerse,April 2022,Gute Entwicklungsmöglichkeiten - auch mit Familie,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1
914,infineon-technologies,Februar 2022,Schlechte Teamleitern,not_recommended,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0
915,infineon-technologies,Dezember 2021,"Das Praktikum und die Werkstudententätigkeit hat mir sehr gut gefallen, das Umfeld war sehr gut, ich habe viel gelernt",recommended,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1
916,sap,April 2022,"ein bisschen Eigeninitiative bringen, ganz viel Entwicklungsmöglichkeiten und- support bekommen",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
917,adidas,Januar 2022,Immer noch gut aber mit Verbesserungspotential,recommended,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,1
918,porsche-gruppe,März 2022,Seltsame Arbeitsatmosphäre,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
919,covestro-deutschland3,August 2019,"Ein Arbeitgeber, der mehr Vorteile als Nachteile bietet. Gute Löhne, herausfirdernde Aufgaben.",recommended,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1
920,deutsche-boerse,März 2021,Praktikum mit voller Team Eingebundenheit und Verantwortung,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
921,deutsche-boerse,Dezember 2017,Sehr unangenehme Räumlichkeiten,not_recommended,3.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,0
922,siemens,Januar 2022,Faire Bezahlung,recommended,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1
923,basf-se,April 2022,Sehr gut!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1
924,siemens,Mai 2022,Auf das Image gestützt,not_recommended,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,0
925,deutsche-telekom,Januar 2022,Dipl. Ing. FH,not_recommended,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0
926,basf-se,Oktober 2021,Angenehmer Arbeitsplatz mit weniger Verantwortung und Vorgehensweise,recommended,2.0,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,3.0,4.0,5.0,1
927,continental-gruppe,Dezember 2021,TOP Ausbildung - kann ich nur weiterempfehlen,recommended,,,,,,,,,,,,,1
928,merckaa,Juni 2021,"Guter Ruf jedoch großes Ungleichgewicht bei Bezahlung, Förderung und Ressourcen.",not_recommended,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,0
929,merckaa,Oktober 2021,Top Arbeitgeber,recommended,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,1
930,sartorius,November 2020,Wird immer schlimmer,not_recommended,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,0
931,qiagen,April 2022,Unternehmenserlebnis ist ambivalent,not_recommended,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,0
932,infineon-technologies,Januar 2022,Sehr gut wären da nicht teilweise Abteilungskämpfe,recommended,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1
933,covestro-deutschland3,März 2022,Spannendes Praktikum,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,1
934,fresenius-se,Juli 2019,Solider und fairer Arbeitgeber,recommended,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1
935,qiagen,März 2017,Unternehmen mit positiven und leider auch vielen negativen Seiten,not_recommended,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,0
936,symrise,Oktober 2021,Innovativer Arbeitgeber mit Potential,recommended,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,1
937,deutsche-boerse,September 2020,Mobbing als Führungstil,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
938,bayer,Juli 2021,Super-verantwortungsvoll trotz schwieriger Lage!,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1
939,muenchener-rueckversicherung,Juni 2018,Gut: 3.38 von 5 Sternen,recommended,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,1
940,vonovia-se,September 2021,Schlechte Bezahlung und schlechte Behandlung von Studenten,not_recommended,2.0,1.0,1.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,0
941,deutsche-boerse,März 2021,Sehr professioneller und angenehmer Bewerbungsprozess trotz Corona und ausschließlich virtuellen Gesprächen.,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,1
942,rwe,Februar 2021,Das wohl schlimmste was einem in seiner beruflichen Welt passieren kann,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
943,pumagroup,April 2019,(Copy) Cat,not_recommended,2.0,3.0,4.0,1.0,2.0,,2.0,5.0,4.0,2.0,3.0,5.0,0
944,henkel-aa,Oktober 2020,Leider wird die Stimmung immer schlechter,not_recommended,2.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,0
945,sap,April 2022,Top Women's Workplace & das familienfreundlichste Unternehmen welches ich je kennengelernt habe,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
946,airbus,Februar 2021,"Dank eines kompetenten Betriebsrats, werden die Arbeitnehmerinteressen sehr gut vertreten.",recommended,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
947,infineon-technologies,Dezember 2021,Gut,recommended,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,1
948,deutsche-telekom,März 2022,Ausbildungsreview,recommended,,,,,,,,,,,,,1
949,mercedes-benz-group,April 2022,Bin sehr zufrieden,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
950,brenntag,Februar 2020,Finger weg!! Start-Up Unternehmen mit schlechter Führung.,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
951,porsche-gruppe,März 2022,Ich könnte ein Buch darüber schreiben..,not_recommended,5.0,2.0,1.0,1.0,3.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,0
952,rwe,Mai 2021,Projektleiter,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,,4.0,1
953,symrise,Oktober 2019,Es gibt besseres aber es ist in nicht unbedingt in meinem Umfeld,recommended,4.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0,3.0,5.0,1
954,muenchener-rueckversicherung,Juni 2018,Gut: 3.85 von 5 Sternen,recommended,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,1
955,eon,Juli 2021,Besser kann man es als Werkstudent/in nicht haben!,recommended,5.0,5.0,5.0,5.0,5.0,,5.0,,,,5.0,,1
956,rwe,Oktober 2020,Sehr gute Erfahrungen,recommended,,,,,,,,,,,,,1
957,muenchener-rueckversicherung,Juni 2018,Gut: 3.08 von 5 Sternen,recommended,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,1
958,siemens,Januar 2022,"Durch meine Initiativbewerbung und meine Arbeit im Homeoffice läuft es aktuell nicht optimal,dennoch gute Aufgaben",recommended,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,1
959,deutsche-boerse,Februar 2019,"Guter Arbeitgeber, positive Erfahrungen",recommended,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,1
960,bmwgroup,April 2022,Familiäre Atmosphäre und Wertschätzung bei parallel hoher Leistungsorientierung,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1
961,volkswagen,August 2021,Sehr gutes Geld,recommended,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,4.0,1
962,fresenius-medical-care,November 2021,Komplexe Unternehmensstruktur aber dennoch gut aufgehoben,recommended,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
963,vonovia-se,Januar 2022,Keine Führungskompetenz,not_recommended,3.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,0
964,siemens,April 2022,"Nicht schlecht, aber mit vergleichbarem Einsatz kann man auch anderswo gut oder besser verdienen",recommended,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,1
965,eon,August 2021,Überwiegend Positiv,recommended,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,1
966,covestro-deutschland3,Oktober 2019,Großindustrie mit modern inkompetentem Management. Hurra-Kultur. Getragen von den alten Netzwerken. Volatil. BWL-Lastig.,not_recommended,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,0
967,sartorius,Mai 2021,Procurement ist Durchgangsbahnhof,not_recommended,4.0,4.0,3.0,5.0,2.0,3.0,4.0,,3.0,,2.0,5.0,0
968,qiagen,April 2021,Man legt keinen Wert auf die Bindung qualifizierter Mitarbeiter durch wettbewerbsfähige Vergütung.,recommended,3.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,1
969,zalando,April 2021,Mehr Schein als Sein! Die deutsche Sprache ist echt diskriminiert,not_recommended,1.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,0
970,pumagroup,Juli 2019,arbeite aus privaten nicht mehr in der firma. aber in meiner zeit alles top,recommended,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1
971,sap,April 2022,Industry Presales,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
972,adidas,Juli 2021,Mehr Schein als Sein,not_recommended,1.0,2.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,0
973,covestro-deutschland3,Mai 2022,Verbesserungswürdig,not_recommended,1.0,1.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,5.0,4.0,0
974,airbus,Dezember 2021,Sehr hilfreich bei meiner Entwicklung,recommended,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,1
975,sap,März 2022,Gute Arbeitsbedingungen,recommended,4.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,2.0,1
976,mercedes-benz-group,Januar 2022,"Schlechte Meisterei, schlechte Organisation",not_recommended,1.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,3.0,0
977,deutsche-boerse,Juli 2018,Ein super Praktikum in einem großen Unternehmen (super schönes und modernes Gebäude).,recommended,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,1
978,covestro-deutschland3,April 2019,Toller Arbeitgeber mit Herz,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
979,fresenius-se,Oktober 2019,tolles Unternehmen in dem ich gerne arbeite,recommended,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,1
980,deutsche-telekom,April 2022,"Eine Zeit der Veränderungen: in den nächsten Monaten und Jahren wird sich zeigen, wohin die Reise geht",not_recommended,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,0
981,linde,Februar 2020,"Ein Unternehmen, viele Möglichkeiten",recommended,5.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,1
982,bmwgroup,April 2022,BMW zu 99% Leiharbeiter in der Produktion,recommended,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,1
983,henkel-aa,September 2021,Guter Ausbildungsplatz,recommended,,,,,,,,,,,,,1
984,hellofresh,April 2022,Tolles Team und toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
985,merckaa,April 2021,Guter Rahmen mit überwiegend mangelhaftem Interna,recommended,4.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1
986,zalando,April 2021,Flexible Arbeitszeiten und Angebote externer Firmen zB für Beratung oder Kinderbetreuung,recommended,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1
987,bmwgroup,Januar 2022,Eine der schönsten Zeiten in meinem Berufsleben,recommended,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1
988,eon,November 2021,Gutes Arbeitsklima,recommended,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,1
989,delivery-hero,Januar 2018,"Great work, cool people & nice benefits",recommended,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,1
990,eon,Mai 2021,Licht & Schatten,not_recommended,4.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,0
991,delivery-hero,Dezember 2019,"Vermeiden! Niedrige Bezahlung, konstanter Druck und herzlose Atmosphäre.",not_recommended,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0
992,sartorius,Juli 2020,Sehr guter Arbeitgeben,recommended,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
993,qiagen,März 2022,"Sichere Arbeit, keine Kompetenz im höheren Management!",not_recommended,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,0
