,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image
579,continental-gruppe,März 2022,Exzellente Ausbildung in einem Weltkonzern!,recommended,,,,,,,,,,,,
580,continental-gruppe,März 2022,Mehr Schein als Sein,not_recommended,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
581,continental-gruppe,März 2022,Mehr Schein als Sein,not_recommended,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
582,continental-gruppe,März 2022,Familienfreundlich?,not_recommended,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
583,continental-gruppe,März 2022,Abwechslungsreiche und verantwortungsvolle Stelle als Sales Manager,recommended,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
584,continental-gruppe,März 2022,"Gutes Unternehmen, alte Strukturen",not_recommended,3.0,5.0,2.0,3.0,2.0,5.0,5.0,,4.0,1.0,5.0,3.0
585,continental-gruppe,März 2022,"Langwierige Prozesse, nicht eingehaltene Versprechungen, Vergraulen guter Mitarbeiter/innen",not_recommended,2.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0
586,continental-gruppe,März 2022,Ein Arbeitgeber des letzten Jahrtausends,not_recommended,1.0,1.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0
587,continental-gruppe,März 2022,"Nette Kollegen, gutes Gehalt & viel Freiheit",recommended,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0
588,continental-gruppe,März 2022,Fatale Entwicklung,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
589,continental-gruppe,März 2022,Top Arbeitsgeber,recommended,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0
590,continental-gruppe,Februar 2022,"Ausbildung in Ordnung, Alles andere, vor allem danach... katastrophal",not_recommended,,,,,,,,,,,,
591,continental-gruppe,Februar 2022,Leider in den letzten Jahren sehr abgebaut,not_recommended,1.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0
592,continental-gruppe,Februar 2022,Bewertung der Ausbildung/ Duales Studium bei Continental Regensburg,recommended,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
593,continental-gruppe,Februar 2022,Guter Arbeitgeber und Global Player,recommended,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0
594,continental-gruppe,Februar 2022,Guter Arbeitgeber und Global Player,recommended,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0
595,continental-gruppe,Februar 2022,Sehr empfehlenswertes Praktikum!,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
596,continental-gruppe,Februar 2022,"Continental - ein sehr wertschätzendes, herausforderndes Umfeld",recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0
597,continental-gruppe,Februar 2022,Worst management ever,not_recommended,4.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0
598,continental-gruppe,Februar 2022,Grundausbildung,recommended,,,,,,,,,,,,
599,continental-gruppe,Februar 2022,Studium mit vertiefter Praxis bei Continental Automotive GmbH an der OTH Regensburg,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
600,continental-gruppe,Februar 2022,Goldgräberstimmung vorbei,not_recommended,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0
601,continental-gruppe,Februar 2022,"Guter, innovativer Arbeitgeber mit zukunftsfähigen Produkten und Entwicklungsmöglichkeiten, sowie guter Live-Balance",recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0
602,continental-gruppe,Februar 2022,Sehr guter Arbeitgeber,recommended,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0
603,continental-gruppe,Januar 2022,Mehr Schein als Sein,not_recommended,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,5.0,3.0
604,continental-gruppe,Januar 2022,Das einzig positive war das Gehalt...,not_recommended,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,,,1.0
605,continental-gruppe,Januar 2022,Automobilzulieferer,recommended,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0
606,continental-gruppe,Januar 2022,Meine Erfahrung bei Continental war grundsätzlich sehr schön. Mir hat nur der Einblick in das echte Arbeitsleben gefehlt,recommended,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0
607,continental-gruppe,Januar 2022,Rundum zufrieden,recommended,,5.0,3.0,4.0,5.0,,5.0,,5.0,,5.0,
608,continental-gruppe,Januar 2022,"Viel Abteilungsdenken und Mikromanagement, aber einige nette Leute",not_recommended,4.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0
609,continental-gruppe,Januar 2022,Tolle Ausbildung in super Atmosphäre,recommended,,,,,,,,,,,,
610,continental-gruppe,Januar 2022,Exjob,not_recommended,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0
611,continental-gruppe,Januar 2022,"Kein Unternehmen, dem es um Gerechtigkeit und Fairness geht",not_recommended,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
612,continental-gruppe,Januar 2022,Super Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
613,continental-gruppe,Januar 2022,Erkenntnisse,not_recommended,2.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
614,continental-gruppe,Januar 2022,"Interessante, innovative Produkte. Die viel beschworenen Werte gelten leider nur noch auf dem Papier.",recommended,4.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0
615,continental-gruppe,Januar 2022,Gutes Unternehmen mit kleinen Macken,recommended,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0
616,continental-gruppe,Januar 2022,Wäre alles gut bis auf die viele Werksschließungen und Stellenstreichungen.,recommended,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0
617,continental-gruppe,Januar 2022,Arbeitsbedingungen nicht mehr zeitgemäß,not_recommended,1.0,,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0
618,continental-gruppe,Januar 2022,Hervorragendes Praktikum in der Aus- und Weiterbildung,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
619,continental-gruppe,Januar 2022,Ein Betrieb zum Lieben,recommended,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0
620,continental-gruppe,Januar 2022,Sicherer Arbeitgeber mit Vielzahl an interessanten Projekten,recommended,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0
621,continental-gruppe,Dezember 2021,Keine Zukunftsaussicht trotz guter Leistung,not_recommended,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0
622,continental-gruppe,Dezember 2021,An sich ein interessanter Job,not_recommended,2.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,5.0,2.0
623,continental-gruppe,Dezember 2021,"Vertrauen, Verbundenheit, etc alles nur leere Worte, werden von den Mitarbeitern verlangt, aber die Konzernleitung nicht",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
624,continental-gruppe,Dezember 2021,TOP-Ausbildung,recommended,,,,,,,,,,,,
625,continental-gruppe,Dezember 2021,Super Ausbildung Continental,recommended,,,,,,,,,,,,
626,continental-gruppe,Dezember 2021,TOP Ausbildung - kann ich nur weiterempfehlen,recommended,,,,,,,,,,,,
627,continental-gruppe,Dezember 2021,Die Zeiten werden schwieriger - Kollegen wandern ab,recommended,2.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0
628,continental-gruppe,Dezember 2021,Vielfältige Aufgaben mit angenehmer Arbeitskultur,recommended,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0
629,continental-gruppe,Dezember 2021,Der Konzern hat mir in meiner gesamten Laufbahn viel gegeben.,recommended,5.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0
630,continental-gruppe,Dezember 2021,Gute Bezahlung und Weiterbildungsmöglichkeiten,recommended,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0
631,continental-gruppe,Dezember 2021,"Ehemals faire Chancen für Aufsteiger, Jetzt geplante Massenkarambolage",not_recommended,3.0,5.0,2.0,3.0,3.0,5.0,4.0,,5.0,2.0,5.0,1.0
632,continental-gruppe,Dezember 2021,"Faire Bezahlung, sehr unterschiedliche Arbeitsbedingungen je nach Bereich.",recommended,3.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0
633,continental-gruppe,Dezember 2021,Intensive lehrreiche Zeit - bei Top AG,recommended,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
634,continental-gruppe,Dezember 2021,Altbackene Strukturen und Prozesse - Mitarbeiter sind Ressource - Fachlich herausragende Kollegen,not_recommended,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0
635,continental-gruppe,Dezember 2021,Ich finde dass jeder die Möglichkeit hat sich dort zu bewerben egal welches Geschlecht oder Herkunft u Ethik,recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0
636,continental-gruppe,Dezember 2021,positiv,recommended,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
637,continental-gruppe,Dezember 2021,Ich habe das Praktikum praktisch und theoretisch vieles gelernt. Ich hoffe,recommended,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
638,continental-gruppe,Dezember 2021,Die Aufgaben waren anfangs sehr repetitiv aber hilfreich. Der name Conti hat mir im nachhinein bei Bewerbungen geholfen,recommended,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0
639,continental-gruppe,Dezember 2021,"Insgesamt sehr gut, gibt aber natürlich die ein oder anderen Sachen die verbesserungsfähig sind",recommended,5.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0
640,continental-gruppe,Dezember 2021,"Vertrauensvolle gute Zusammenarbeit, immer neue Herausforderungen",recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
641,covestro-deutschland3,Mai 2022,Verbesserungswürdig,not_recommended,1.0,1.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,5.0,4.0
642,covestro-deutschland3,April 2022,Mein bester Arbeitgeber bisher,recommended,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
643,covestro-deutschland3,April 2022,"Super Arbeitgeber, fördert und fordert in richtigen Maß und man gewinnt viel Anerkennung",recommended,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
644,covestro-deutschland3,April 2022,Kurz und knapp ein Top Arbeitgeber,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
645,covestro-deutschland3,April 2022,Toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
646,covestro-deutschland3,März 2022,Spannendes Praktikum,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
647,covestro-deutschland3,Januar 2022,"Ein großes Unternehmen, dass sich um seine Mitarbeiter kümmert. Egal ob Arbeitsschutz oder Unzufriedenheit.",recommended,,,,,,,,,,,,
648,covestro-deutschland3,Januar 2022,Covestro Deutschland AG Leverkusen,recommended,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0
649,covestro-deutschland3,Januar 2022,Guter Ausbilder,recommended,,,,,,,,,,,,
650,covestro-deutschland3,Dezember 2021,Eine tolle Zeit mit vielen guten Erfahrungen,recommended,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
651,covestro-deutschland3,November 2021,Covestro nach Umstrukturierung unattraktiver als Arbeitgeber,not_recommended,4.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0
652,covestro-deutschland3,November 2021,Jobs mit Zukunft,recommended,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
653,covestro-deutschland3,November 2021,"Guter Arbeitgeber, viel Sonderleistung für Mitarbeiter",recommended,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0
654,covestro-deutschland3,November 2021,Werkstudent Tax Accounting & Tax Technology,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
655,covestro-deutschland3,Oktober 2021,"Familienfreundlich; für ""New-Comers"" ist einfach verlorene Zeit",not_recommended,2.0,2.0,2.0,1.0,,,1.0,4.0,3.0,3.0,1.0,
656,covestro-deutschland3,Oktober 2021,Gute Möglichkeit um viel zu lernen,recommended,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
657,covestro-deutschland3,Oktober 2021,"Nach außen hin bunt, modern und offen, nach innen hin träge, veraltet und kalt",not_recommended,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
658,covestro-deutschland3,September 2021,Produktion,not_recommended,,,2.0,1.0,,,1.0,3.0,3.0,3.0,2.0,
659,covestro-deutschland3,September 2021,Management benötigt Mitarbeiterführungsseminar,not_recommended,4.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,4.0,5.0
660,covestro-deutschland3,September 2021,Aussen Hui …innen …… selbe alte „Bruderschaften“,not_recommended,5.0,3.0,5.0,4.0,1.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0
661,covestro-deutschland3,September 2021,Tolle Atmosphäre und Lernumfeld,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
662,covestro-deutschland3,September 2021,Viel reden wenig sagen...dann kommt man weiter. Unter BAYER hat es noch Spaß gemacht...,not_recommended,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0
663,covestro-deutschland3,Juli 2021,Passt besseres gibt es nicht,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
664,covestro-deutschland3,Juli 2021,Mehr Schein als Sein,not_recommended,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0
665,covestro-deutschland3,Juni 2021,Enttäuschend. Unorganisiert. Eingerostet.,not_recommended,4.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0
666,covestro-deutschland3,April 2021,Ich bin sehr zufrieden,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
667,covestro-deutschland3,April 2021,Top Vereinbarkeit von Familie und Beruf ..,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
668,covestro-deutschland3,März 2021,Covestro Bewertung,recommended,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,,5.0,5.0
669,covestro-deutschland3,März 2021,"Ein super Unternehmen.
Klasse Kollegen und nette Vorgesetzte.",recommended,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0
670,covestro-deutschland3,März 2021,Super Unternehmen,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
671,covestro-deutschland3,März 2021,Ein empfehlenswerter Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0
672,covestro-deutschland3,Februar 2021,"Große Vorgaben erfüllt, trotz schwerem Erbe im Denken und Handeln",recommended,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0
673,covestro-deutschland3,Februar 2021,Es kann noch vieles besser werden,not_recommended,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0
674,covestro-deutschland3,Februar 2021,Bester Arbeitgeber - We are one!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
675,covestro-deutschland3,Januar 2021,Angenehmer Arbeitgeber,recommended,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,
676,covestro-deutschland3,Dezember 2020,Guter Arbeitgeber mit familienorientierte Personalpolitik,recommended,3.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,1.0,5.0,2.0,2.0
677,covestro-deutschland3,Dezember 2020,Ziellos durchs All treibend,not_recommended,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0
678,covestro-deutschland3,November 2020,"Empfehlenswert, tolles Arbeitsumfeld, Unternehmenskultur mit der man sich identifizieren kann und faire Arbeitsbedingung",recommended,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
679,covestro-deutschland3,November 2020,Unternehmenskultur wird in Brunsbüttel leider nicht gelebt.,not_recommended,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,
680,covestro-deutschland3,Oktober 2020,Innovation und Entwicklung ist nur ein Lippenbekenntnis.,not_recommended,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0
681,covestro-deutschland3,September 2020,Eher grenzwertig,not_recommended,5.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0
682,covestro-deutschland3,September 2020,Mehr Schein als Sein......,recommended,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0
683,covestro-deutschland3,September 2020,Mit der Unternehmenskultur fängt alles an...,recommended,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
684,covestro-deutschland3,August 2020,"Ein Unternehmen, dass sich echt sehen lassen kann",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
685,covestro-deutschland3,Juli 2020,Nightmare IT ever...,not_recommended,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,
686,covestro-deutschland3,Juli 2020,Ein sehr lehrreiches Praktikum mit spannende Einblicke in die Industrie.,recommended,4.0,,3.0,5.0,4.0,,5.0,4.0,4.0,,5.0,5.0
687,covestro-deutschland3,Juli 2020,Guter Job in schwierigen Zeiten,recommended,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0
688,covestro-deutschland3,Juli 2020,Clear recommendation for this company...,recommended,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
689,covestro-deutschland3,Juli 2020,Junge Firma mit jahrzehntelanger Erfahrung als Weltkonzern,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0
690,covestro-deutschland3,Juli 2020,Spannendes Praktikum mit vielen verschieden umfangreichen Aufgaben. Sehr nettes und kompetentes Team.,recommended,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0
691,covestro-deutschland3,Juni 2020,"Ein Dinosaurier, dem man ein buntes Kostüm überzieht, bleibt darunter eben im Wesentlichen immernoch ein Dinosaurier",not_recommended,2.0,,1.0,1.0,2.0,,1.0,,2.0,,1.0,
692,covestro-deutschland3,Mai 2020,"Ein modernes Unternehmen, bei dem es leicht fällt, sich mit ihm zu identifizieren",recommended,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,4.0
693,covestro-deutschland3,Mai 2020,Sehr tolle Stelle,recommended,,,,,,,,,,,,
694,covestro-deutschland3,Mai 2020,Tolles Unternehmen mit tollen Werten,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0
695,covestro-deutschland3,Mai 2020,"Viel Gutes, aber auch viel Schlechtes",not_recommended,3.0,1.0,4.0,4.0,1.0,,5.0,3.0,2.0,3.0,,3.0
696,covestro-deutschland3,Mai 2020,Top Arbeitgeber,recommended,4.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
697,covestro-deutschland3,Mai 2020,Kultur Pur,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
698,covestro-deutschland3,Mai 2020,So lala,not_recommended,1.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0
699,covestro-deutschland3,April 2020,Alles mit Weitsicht!,recommended,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0
700,covestro-deutschland3,April 2020,Gute Firma mit Abzügen! Wie so oft mangelnde Führung.,recommended,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0
701,covestro-deutschland3,April 2020,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0
702,covestro-deutschland3,März 2020,Covestro,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
703,covestro-deutschland3,Januar 2020,"Gender Washing. Lousy and harsh culture; especially for gay, lesbian and trans (LGBT) people",not_recommended,1.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0
704,covestro-deutschland3,Januar 2020,Entstanden aus einem erzkonservativen Unternehmen; Entwicklung zu einem modernen Konzern,recommended,4.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0
705,covestro-deutschland3,Januar 2020,"Eher Flop, Missmanagement in aller Richtungen",not_recommended,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,1.0,4.0
706,covestro-deutschland3,Januar 2020,Einer des besten Arbeitgeber in Deutschland. Ein Start Up mit über 100 Jahren Erfahrung!,recommended,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0
707,covestro-deutschland3,Januar 2020,"Die Bewertung ist recht gut, was den Arbeitsgeber gut wiederspiegelt.",recommended,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
708,covestro-deutschland3,November 2019,IT ist Kostenstelle mit wenig Ansehen,not_recommended,3.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
709,covestro-deutschland3,Oktober 2019,Nett und freundlich so wie es sein soll,not_recommended,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
710,covestro-deutschland3,Oktober 2019,Großindustrie mit modern inkompetentem Management. Hurra-Kultur. Getragen von den alten Netzwerken. Volatil. BWL-Lastig.,not_recommended,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
711,covestro-deutschland3,Oktober 2019,Fairer Arbeitgeber bei dem man genug Zeit für Familienleben hat und gute bezahlung,recommended,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
712,covestro-deutschland3,Oktober 2019,der Aufbruch muss her,not_recommended,5.0,,4.0,3.0,5.0,4.0,5.0,,1.0,,4.0,
713,covestro-deutschland3,Oktober 2019,Top Arbeitgeber,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
714,covestro-deutschland3,August 2019,Team war super! Tolle Arbeitsatmosphäre! Sehr gute Personalführung! Sehr ausführliches Feedback,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
715,covestro-deutschland3,August 2019,LGBT Discrimination in all areas - a cultural disaster hidden under a marketing campaign of curious and colorful,not_recommended,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
716,covestro-deutschland3,August 2019,"Der Arbeitgeber ist sehr zu empfehlen. Meckern ist immer leicht, aber die Mitarbeiter sind meist zufrieden.",recommended,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
717,covestro-deutschland3,August 2019,"Ein Arbeitgeber, der mehr Vorteile als Nachteile bietet. Gute Löhne, herausfirdernde Aufgaben.",recommended,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0
718,covestro-deutschland3,Juli 2019,Guter Arbeitgeber aber noch mit Luft nach oben,recommended,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
719,covestro-deutschland3,Juli 2019,Fantastisches Unternehmen,recommended,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
720,covestro-deutschland3,Juli 2019,Covestro - vom Vorzeigeunternehmen zurück ins Mittelmaß,not_recommended,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0
721,covestro-deutschland3,Juni 2019,"Das Unternehmen bietet herausfordernde Aufgaben, realtiv gute Lohn und Sozialleistungen. Work-Life Balance nur ok.",recommended,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
722,covestro-deutschland3,Juni 2019,Covestro Deutschland AG (Folienbetrieb),recommended,2.0,2.0,3.0,4.0,4.0,2.0,5.0,1.0,2.0,5.0,5.0,2.0
723,covestro-deutschland3,Juni 2019,Wir können uns sehr glücklich schätzen!,recommended,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
724,covestro-deutschland3,Mai 2019,Sehr freundliches Team und tolle Atmosphäre,recommended,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
725,covestro-deutschland3,Mai 2019,Gute Work-Life-Balance!,recommended,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0
726,covestro-deutschland3,Mai 2019,Wir sind collorful,recommended,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
727,covestro-deutschland3,Mai 2019,Toller Arbeitgeber,recommended,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
728,covestro-deutschland3,Mai 2019,Covestro ist ein sehr familienfreundlicher Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
