,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
737,bmwgroup,April 2022,Experiment gescheitert,recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
738,volkswagen,April 2022,Sehr guter Arbeitgeber mit kleinen Einschränkungen,recommended,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1
739,porsche-gruppe,Juni 2021,Es kann kaum einen besseren geben …,recommended,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
740,covestro-deutschland3,April 2020,Alles mit Weitsicht!,recommended,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,1
741,muenchener-rueckversicherung,Oktober 2017,"solider Arbeitgeber, etwas schwerfällig aber umgänglich",recommended,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,1
742,mtuaeroengines,März 2022,Multispace ist nicht schön,not_recommended,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,,0
743,porsche-gruppe,April 2021,Top Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
744,volkswagen,Januar 2022,Aussendienst,recommended,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1
745,eon,September 2021,Die Nr. 1 in der Betriebsgastronomie,recommended,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,1
746,henkel-aa,April 2021,Ich bin Henkelaner-Azubi,recommended,,,,,,,,,,,,,1
747,mtuaeroengines,März 2022,"Unglaublich hohe fachliche Kompetenz, herzlich, offen. Eine Firma in der man gerne arbeitet und nicht mehr weg möchte!",recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
748,deutsche-bank,August 2020,Absolut zu empfehlen - fachlich sowie menschlich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1
749,deutsche-bank,Januar 2022,Leider sehr differenzierte monetäre Entlohnung zwischen einzelnen Mitarbeitern,not_recommended,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,0
750,delivery-hero,Dezember 2019,Schlimmster Job meines Lebens.,recommended,2.0,5.0,2.0,4.0,2.0,5.0,1.0,5.0,3.0,3.0,4.0,2.0,1
751,infineon-technologies,Januar 2022,Alles kann gut sein...,recommended,3.0,,5.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,1
752,vonovia-se,April 2022,Mehr als nur ein Job,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,1
753,qiagen,Juli 2017,"Qiagen, 3.8 von 5",recommended,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1
754,qiagen,Juni 2018,Befriedigend: 2.62 von 5 Sternen,not_recommended,3.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,0
755,qiagen,Februar 2019,Entwicklungen innerhalb Personalabteilung bedenklich,not_recommended,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,0
756,daimler-truck3,April 2022,Familenfreundlichkeit und Starkes Wörth gehören zusammen,recommended,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1
757,hellofresh,Januar 2019,Top-Arbeitgeber,recommended,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1
758,covestro-deutschland3,Juli 2021,Mehr Schein als Sein,not_recommended,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0
759,bayer,Juli 2021,Schlimmer geht's nicht,not_recommended,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,0
760,airbus,Januar 2021,Grottig,not_recommended,3.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,0
761,zalando,März 2022,"Soweit okay, aber nicht wirklich familienfreundlich",not_recommended,3.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,0
762,continental-gruppe,Februar 2022,"Guter, innovativer Arbeitgeber mit zukunftsfähigen Produkten und Entwicklungsmöglichkeiten, sowie guter Live-Balance",recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,1
763,allianz118,April 2022,"Allianz SE ist mein 3. Arbeitgeber & der beste hinsichtlich Vereinbarkeit von Familie, Work-Life Balance & Vergütung.",recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1
764,covestro-deutschland3,November 2020,"Empfehlenswert, tolles Arbeitsumfeld, Unternehmenskultur mit der man sich identifizieren kann und faire Arbeitsbedingung",recommended,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,1
765,brenntag,August 2021,Inkonsequenter ungerechter Arbeitgeber,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0
766,hellofresh,März 2019,Herzliches Willkommen - Nah am Produkt,recommended,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,1
767,deutsche-telekom,April 2022,DTBS zu viele Manager,not_recommended,3.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,0
768,deutsche-telekom,Mai 2022,"Stell dir vor du lernst 3 Jahre nur Systeme zu bedienen und nichts Inhalts volles, herzlich willkommen bei der Telekom",not_recommended,,,,,,,,,,,,,0
769,brenntag,November 2020,Spannendes und zukunftssicheres Unternehmen mit einer guten Arbeitskultur,recommended,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1
770,merckaa,Dezember 2021,"Es war ein interessantes, spannendes Praktikum das mir einen Einblick in ein internationalen Konzern gewähren konnte.",recommended,3.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1
771,deutsche-boerse,September 2020,Group Strategy / M&A - am besten fern bleiben,not_recommended,3.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,0
772,vonovia-se,April 2022,Unternehmenskultur.,recommended,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1
773,porsche-gruppe,März 2021,"Jobs werden schon vor der Veröffentlichung, unter vorgehaltener Hand, vergeben !!!",not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0
774,symrise,Juni 2018,Room for improvement,recommended,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,1
775,airbus,Februar 2021,Feuerwehr,recommended,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,1
776,zalando,Mai 2022,Innovation vs. Bürokratie,recommended,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1
777,zalando,April 2022,Still a lot to improve,not_recommended,4.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,0
778,brenntag,Oktober 2020,Never ever....,not_recommended,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,0
779,deutsche-telekom,April 2022,Absolut zufrieden,recommended,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,1
780,adidas,April 2022,"Große Marke, hohe Erwartungen",recommended,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1
781,symrise,November 2017,Top Arbeitgeber und Sichere Jobs!,recommended,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,,4.0,4.0,4.0,1
782,mtuaeroengines,März 2022,Von Anfang bis Ende,recommended,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
783,rwe,April 2020,Arbeit wie Familie,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
784,eon,November 2020,"Top AG mit div. Vorzügen bei herausfordernden Aufgaben, welche aber spass bringen und ein tolles Team im Hintergrund.",recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
785,continental-gruppe,Mai 2022,Mittelalter Bude die auf Weltfirma macht!,not_recommended,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,4.0,3.0,0
786,deutsche-telekom,Februar 2022,Viel erlebt und gelernt in 2 1/2 Jahren,recommended,,,,,,,,,,,,,1
787,eon,April 2022,E.ON Accounting Solutions GmbH,not_recommended,2.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0
788,rwe,April 2022,Super toller und familienfreundlicher Arbeitgeber.,recommended,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,1
789,henkel-aa,Mai 2022,Veraltete Strukturen und wenig Möglichkeiten etwas zu bewirken. Moderne Arbeitsweisen werden hier nicht gern gesehen.,not_recommended,3.0,3.0,1.0,3.0,3.0,,3.0,5.0,2.0,3.0,3.0,2.0,0
790,bayer,Juni 2021,Immer noch keine neue Organisation ...,not_recommended,2.0,4.0,3.0,4.0,2.0,1.0,3.0,,5.0,2.0,4.0,,0
791,delivery-hero,Dezember 2018,Spannende Arbeit und Strukturen im Entstehen,recommended,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1
792,basf-se,April 2022,Sehr gut!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,1
793,porsche-gruppe,Juli 2021,Besser als sonst wo,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
794,symrise,September 2021,Working at Symrise,recommended,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,1
795,henkel-aa,April 2021,"Großartige, diverse Unternehmenskultur",recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1
796,basf-se,Januar 2022,Gute Erfahrungen mit diesem Betrieb,recommended,,,,,,,,,,,,,1
797,deutsche-post,April 2022,"Job ganz gut, Vorgesetzte leider nicht so.",not_recommended,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,0
798,volkswagen,Dezember 2021,"War ein tolles und lehrreiches Praktikum, welches durch Corona leider etwas anders war, als es eigentlich geplant war.",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,1
799,deutsche-telekom,Februar 2022,Ü55 und Angst vor Jobverlust,not_recommended,3.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,4.0,5.0,2.0,0
800,infineon-technologies,Dezember 2021,"Sehr gut: 4,6 von 5 Sternen",recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1
801,bayer,Februar 2022,"Zeitgemäßer Arbeitgeber, der viel für seine Mitarbeiter in allen Bereichen bietet. Führungsebene auf Augenhöhe.",recommended,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,1
802,continental-gruppe,Januar 2022,Arbeitsbedingungen nicht mehr zeitgemäß,not_recommended,1.0,,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,0
803,vonovia-se,November 2021,Guter Arbeitgeber mit hohem Anspruch,recommended,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,1
804,mercedes-benz-group,Februar 2022,Hatte schon etliche Arbeitgeber aber dieser ist eindeutig der Beste,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,1
805,covestro-deutschland3,September 2020,Mehr Schein als Sein......,recommended,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,1
806,fresenius-medical-care,Juli 2019,Es ist Ok,not_recommended,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,0
807,daimler-truck3,November 2021,Guter Arbeitgeber,recommended,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,1
808,henkel-aa,September 2020,"Auch ich bin stolz ein Henkelaner zu sein,",recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
809,siemens,April 2022,Globalplayer mit Schwächen,not_recommended,4.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,0
810,basf-se,April 2022,Immer ein offenes Ohr für familiäre Probleme,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1
811,vonovia-se,Januar 2022,Sicherer Arbeitsplatz,recommended,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,1
812,daimler-truck3,Mai 2022,Hier kann ich wirklich einen Impact erzielen!,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,1
813,qiagen,März 2021,Außen Hui innen Doppelpfui,not_recommended,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,,2.0,3.0,0
814,linde,Mai 2021,"super Klima, nette Kollegen",recommended,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,,5.0,1
815,covestro-deutschland3,November 2021,Werkstudent Tax Accounting & Tax Technology,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1
816,qiagen,Oktober 2020,Der Mensch als billiges Objekt - der wahre Stand der „Coronahelden“,not_recommended,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,0
817,adidas,Dezember 2021,Lehrreich und gute Menschen,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
818,merckaa,September 2021,Top Arbeitgeber,recommended,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,1
819,hannover-rueckversicherung,Mai 2019,Der wahre Traumjob,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
820,linde,April 2022,Sehr angenehme Arbeitsatmosphere mit spannenden Projekten,recommended,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,1
821,zalando,Juli 2021,Für 1/2 Jahre okay,not_recommended,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0
822,basf-se,April 2022,Sehr familienfreundlich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,5.0,1
823,fresenius-medical-care,Mai 2020,Unternehmenskultur ist nicht mehr zeitgemäss,not_recommended,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,0
824,adidas,Dezember 2021,Ist gut,not_recommended,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,3.0,2.0,0
825,linde,April 2022,Mitarbeiter sind nur eine Nummer und müssen weit über das Normale hinaus arbeiten.,not_recommended,1.0,5.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,0
826,sap,März 2022,Nach dem Studium zur SAP,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
827,rwe,Mai 2020,Dort beginnt die Zukunft. Energy to lead.,recommended,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1
828,merckaa,Oktober 2021,"Merck Life Science: Tummelplatz für Karrieristen / Viel Schein, wenig Sein",not_recommended,3.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,5.0,0
829,deutsche-post,April 2022,Mittelmäßig,not_recommended,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,0
830,symrise,Juni 2019,"attraktiver arbeitgeber, sehr sozial, bin stolz dort zu sein",recommended,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1
831,mtuaeroengines,März 2022,sehr schöne Ausbildung mit schlechter Führung.,not_recommended,,,,,,,,,,,,,0
832,basf-se,Dezember 2021,"Gut: 3,8 von 5 Sternen",recommended,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,1
833,linde,September 2020,Toller Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
834,muenchener-rueckversicherung,Dezember 2021,"Goldener Käfig - nette Benefits, nichts für persönliches Wachstum",not_recommended,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,,,5.0,,0
835,henkel-aa,Februar 2022,"Top Arbeitgeber, wenn man persönlich gerne für einen Konzern arbeitet",recommended,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1
836,covestro-deutschland3,Dezember 2020,Ziellos durchs All treibend,not_recommended,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,0
837,sartorius,Januar 2021,Zakaev. 017662040788,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
838,rwe,Juli 2019,Es wr mal besser und wir sind ja politisch nicht mehr gewollt,not_recommended,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,0
839,adidas,Dezember 2021,"Meine Arbeit mal stressig, mal ruhig!",recommended,4.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,1
840,deutsche-post,April 2022,Kann ich nicht weiterempfehlen,not_recommended,1.0,1.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,,3.0,0
841,muenchener-rueckversicherung,Mai 2017,Theoretisch familienfreundlich,not_recommended,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,0
842,symrise,Juli 2021,kaum zu glauben aber leider wahr,not_recommended,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0
843,deutsche-post,April 2022,Fairer Arbeitsplatz,recommended,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,1
844,adidas,Dezember 2021,I was a valuable member to the team with strong potential and areas I can improve in in order to reach said potential.,recommended,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1
845,delivery-hero,Januar 2020,"Das war nicht die beste Arbeitsplatz, die ich virstellen könnte.",not_recommended,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,0
846,daimler-truck3,März 2022,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1
847,symrise,Juli 2019,"Grundsätzlich: Ein sehr guter Ausbilder, bei dem leider noch einige grundlegende Dinge falsch laufen.",recommended,,,,,,,,,,,,,1
848,rwe,August 2021,"Consulting Konzern mit überkomplexen Prozessen sowie hierarchischem Management, der grundsätzlich gute Sachen macht",recommended,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,1
849,deutsche-bank,Mai 2020,Ein oft unterschätzter Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1
850,siemens,Januar 2022,"Mit Auszeichnung, ABER",not_recommended,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,0
851,volkswagen,November 2021,Sehr guter Arbeitgeber,recommended,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
852,hellofresh,Januar 2022,International Marketing VP Leadership is a joke.,not_recommended,,2.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,0
853,mercedes-benz-group,April 2022,Daimler war mal... ist es aber nicht mehr,not_recommended,2.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,3.0,0
854,airbus,März 2021,Ausrüstungsmechaniker,not_recommended,4.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,0
855,fresenius-medical-care,Mai 2019,Sehr guter Arbeitsgeber,recommended,5.0,,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,5.0,1
856,daimler-truck3,April 2020,Krisenmanagement während Pandemie,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1
857,deutsche-post,April 2022,"Mehr miteinander wäre schön , und altersgerechte Arbeit",not_recommended,2.0,3.0,1.0,1.0,,2.0,1.0,1.0,2.0,,1.0,2.0,0
858,brenntag,Juli 2017,"BRENNTAG GmbH, 4.4 von 5",recommended,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1
859,muenchener-rueckversicherung,Juli 2017,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München, 4.0 von 5",recommended,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,1
860,brenntag,Juli 2017,"Brenntag AG, 3.6 von 5",recommended,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,1
861,deutsche-telekom,Mai 2022,Mobbing!,not_recommended,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,0
862,adidas,Dezember 2021,Sehr lehrreich,recommended,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,,2.0,3.0,4.0,1
863,adidas,Mai 2022,adidas AG - Manager Level,not_recommended,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,0
864,bmwgroup,April 2022,Auf gutem Weg,recommended,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,1
865,eon,April 2021,Rwe/Innogy/Eon,recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
866,linde,Juli 2021,Alle müssen zurück in die Büros,not_recommended,5.0,,1.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,5.0,0
867,muenchener-rueckversicherung,Juli 2019,"gutes solides unternehmen, das derzeit aber überzieht und zusehr an der personalkostenschraube dreht",recommended,4.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,1
868,sartorius,Januar 2022,"Habe in Deutschland schon in mehreren Firmen gearbeitet, kann sagen, das Sartorius beste Firma ist.",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
869,vonovia-se,Dezember 2021,Toller Arbeitgeber,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1
870,brenntag,April 2022,Köln war schlecht.,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0
871,porsche-gruppe,Dezember 2021,Du bist ersetzbar und alle lassen dich das wissen.,recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1
872,volkswagen,September 2021,"Brutal viel Arbeit, aber Freude am Tun",recommended,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,1
873,fresenius-medical-care,Juni 2019,"Fresenius ist eine Firma, die seit Jahren nicht die Arbeit der Ehrlichkeit verpflichtet Mitarbeiter fördern und fordert",recommended,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1
874,bmwgroup,März 2022,Toller Arbeitgeber,recommended,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
875,sartorius,März 2022,Moderner Arbeitgeber mit allen Vor- und Nachteilen,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1
876,infineon-technologies,Dezember 2021,Top Arbeitgeber,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,1
877,merckaa,Mai 2020,Super Arbeitgeber,recommended,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,1
878,pumagroup,Februar 2020,"Spannendes Unternehmen, leider mit sehr intransparenten Vergütungssystem",recommended,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,1
879,qiagen,März 2017,Kollegen und Arbeitsklima,not_recommended,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,0
880,brenntag,März 2021,Katastrophe,not_recommended,1.0,1.0,1.0,5.0,1.0,,1.0,,1.0,1.0,3.0,,0
881,deutsche-bank,Januar 2022,Gute Verdienstchancen und sehr gute Kollegen,recommended,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1
882,linde,November 2021,2-3 Jahre und der Standort wird geschlossen,not_recommended,1.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,0
883,henkel-aa,Januar 2022,"Super Firma, Konzern halt und das muss man mögen",recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,1
884,daimler-truck3,Januar 2022,"Langweilige Arbeit, gute Bedingungen",recommended,1.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,1
885,siemens,April 2022,Auch nach Jahren noch mein Traumjob,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
886,covestro-deutschland3,November 2021,"Guter Arbeitgeber, viel Sonderleistung für Mitarbeiter",recommended,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,1
887,fresenius-medical-care,August 2019,Top down Unkultur,not_recommended,2.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,0
888,infineon-technologies,Dezember 2021,It gave an opportunity to show my skills. Also it gave me a chance to interact with people with other backgrounds,recommended,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1
889,basf-se,März 2022,An employer that doesn't care at all about the employees,not_recommended,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
890,fresenius-medical-care,Mai 2019,Produktion und Wartung,recommended,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,1
